,Time,$x_sg$,$x_sw$,$x_hv$,$\theta_r$,$\theta_p$,$x_tf$,$x_ts$,$x_1$,$x_2$,$x_3$,$x_4$,$DVA_1$,$DVA_2$,$DVA_3$,$DVA_4$
0,0.01,0.011046543218638873,0.0014761285487572052,0.0006707064540772236,-0.1152262598026228,-0.7445725461915207,-87.51433814648595,10.983502323634701,0.10446865298134739,0.0769176995616108,-0.12666678631608227,-0.12716990288348803,-208396017.55142212,-154514238.23833466,252940692.00754166,255343914.03198242
1,0.02,0.04410131312820009,0.005867190319700481,0.002673991253247931,-0.11533004771010713,-0.743743022229503,-87.52016098158137,10.988504412277884,0.41636320566206114,0.3067357932705655,-0.5049402652827175,-0.5070994378755163,-208174306.89930916,-154588008.29946995,252881143.24212074,255426391.95919037
2,0.03,0.09900922295177927,0.013118817490426385,0.005997818903067569,-0.11550139688789463,-0.7423648095004309,-87.52976295061798,10.996838837674536,0.9331477772011805,0.6881463492187787,-1.1321629355071188,-1.137526160657526,-207511037.5881195,-154808806.2554598,252703130.24520874,255673564.97049332
3,0.04,0.17557720437021967,0.023179481657058076,0.010632275329352412,-0.11573904916355549,-0.7404424838008259,-87.54301383260443,11.008506177572094,1.6518598759873437,1.2199904476446313,-2.005569694013928,-2.016357284436939,-206409320.23525238,-155175682.15727806,252407677.47163773,256084762.51363754
4,0.05,0.2735746992185362,0.03600046093735052,0.016569524612386956,-0.11604181450815032,-0.7379815231178712,-87.55974332389884,11.023509130065445,2.569118274525979,1.9012558279039151,-3.122290347800202,-3.1416673096819925,-204872936.01036072,-155687518.41783524,251995995.6407547,256658904.2544365
5,0.06,0.39273421878434234,0.051535798142914695,0.02380375748728747,-0.11640857004887817,-0.7349882943337458,-87.57974160638649,11.041852418490173,3.681131510836675,2.731074311825299,-4.479352227322602,-4.511695332667967,-202906355.26180267,-156342890.11359215,251469351.35126114,257394649.08838272
6,0.07,0.5327519697369201,0.0697422493131495,0.032331132201851874,-0.11683825884298304,-0.7314700383313104,-87.60275999514391,11.063542699718504,4.983707000137273,3.7087189641317226,-6.073682919218756,-6.124842017350364,-200514700.26373863,-157140120.8639145,250829234.71927643,258290208.87613297
7,0.08,0.6932885447312878,0.09057922341986703,0.042149708071399596,-0.11732988843280223,-0.727434853548171,-87.62851166404754,11.088588475852074,6.472260685093325,4.833601043533364,-7.902113125644812,-7.9796662343410905,-197703652.08387375,-158077329.39720154,250077210.36672592,259343534.70802307
8,0.09,0.8739696749007354,0.11400871454028136,0.05325937155807338,-0.1178825292138943,-0.7228916780465351,-87.65667244764529,11.117000009284613,8.141827209362315,6.105266760478215,-9.961379546635568,-10.074881444423852,-194479525.08926392,-159152410.92443466,249214861.54198647,260552279.651165
9,0.1,1.0743870451091595,0.13999522523672014,0.06566175544702953,-0.11849531258515444,-0.7178502700761125,-87.68688171747316,11.148789241090649,9.987070663998965,7.523393797162903,-12.248127896256689,-12.409351773712562,-190849304.19921875,-160362962.63337135,248244069.51665878,261913724.2436409
10,0.11,1.2940991694607167,0.16850568140225552,0.0793601510011853,-0.11916742888727905,-0.712321187190323,-87.71874333086103,11.183969712678476,12.002295835157277,9.0877876387797,-14.758916041040365,-14.982087746696338,-186820477.24723816,-161706451.32660866,247166715.5623436,263424776.49450302
11,0.12,1.5326323246277185,0.1995093399512117,0.09435941351021852,-0.11989812516354048,-0.7063157639744695,-87.75182665014431,11.222556490625836,14.181459947490527,10.79837771771301,-17.49021719452757,-17.792241773611178,-182401202.61907578,-163180045.78351974,245984848.58870506,265082158.14828873
12,0.13,1.7894815400807227,0.23297768848179387,0.11066586155760023,-0.12068670272137716,-0.6998460884069369,-87.78566763007045,11.264566094600221,16.518184915726668,12.655213335793988,-20.438423203738434,-20.839103357406824,-177600178.8675785,-164780709.89251137,244700592.0112133,266882143.91469955
13,0.14,2.064111642351923,0.2688843383053583,0.12828717025882344,-0.12153251452914615,-0.6929249769225323,-87.81976997106871,11.310016428249124,19.00577002438272,14.658459441059039,-23.599847917060853,-24.122094042335025,-172426626.08623505,-166505258.53037834,243316218.25695038,268820859.4918251
14,0.15,2.3559583511349014,0.3072049112163388,0.14723225940662585,-0.1224349624572767,-0.6855659482304644,-87.85360633593507,11.35892671292839,21.63720500257554,16.808392241967784,-26.970730632159288,-27.640762143660634,-166890248.6562729,-168350264.43004608,241834074.25880432,270894058.0487251
15,0.16,2.6644294265756803,0.34791691939626,0.167511175487856,-0.1233934943488948,-0.6777831959011866,-87.8866196273731,11.411317424124176,24.40518359118227,19.1053946424437,-30.547239613478553,-31.394777224198492,-161001477.39052773,-170312114.05992508,240256637.3348236,273097269.2370415
